ID,District,Name,Address,Contact
380,VIRUDHUNAGAR,"GOVT. HOSPITAL, THIRUTHANGAL, VIRUDHUNAGAR TN.","GOVT. HOSPITAL,PILLYAR KOVIL BACK SIDE,THIRUTHANGAL,VIRUDHUNAGAR",9843650105
381,VIRUDHUNAGAR,"GOVT HOSPITAL,SATTUR,VIRUDHUNAGAR TN.","SATTUR, TAMIL NADU 626203",8778966106
382,VIRUDHUNAGAR,"GOVERNMENT MEDICAL COLLEGE, VIRUDHUNAGAR TN.","RAMAMOORTHY RD, PROFESSORS COLONY, ANNA NAGAR, VIRUDHUNAGAR, TAMIL NADU 626001",9843272876
383,VIRUDHUNAGAR,"GOVT HOSPITAL KALLAMANAYAKANPATI, VIRUDHUNAGAR TN.","GOVT HOSPITAL, GOVT SCHOOL BACKSIDE, KALLAMANAICKENPATTI",9442665595
384,VIRUDHUNAGAR,"GOVT HOSPITAL,SIVAKASI,VIRUDHUNAGAR TN","PERIYAKULAM COLONY,?SIVAKASI,?VIRUDHUNAGAR-?626123",9843972362
385,VIRUDHUNAGAR,"GOVT HOSPITAL,WATRAP,VIRUDHUNAGAR TN.",VIRUDHUNAGAR - 626001,9894529051
386,VIRUDHUNAGAR,"GOVT HOSPITAL,KARIAPATTI,VIRUDHUNAGAR TN.","KARIAPATTI, TAMIL NADU 626106",9443503351
387,VIRUDHUNAGAR,"GOVT.HD.QUARTERS HOSP,RAJAPALAYAM,VIRUDHUNAGAR TN.","ILANTHOPU, RAJAPALAYAM, RAJAPALAYAM, TAMIL NADU 626117",9994391023
388,VIRUDHUNAGAR,"GOVT. HOSPITAL, SRIVILLIPUTHUR, VIRUDHUNAGAR TN.","HOSPITAL CHOWK, NEAR SALEM STEEL PLANT,SRIVILLIPUTHUR, TAMIL NADU 626125",9442058582
389,VIRUDHUNAGAR,"GOVT.HOSPITAL THIRUCHULI,VIRUDHUNAGAR TN.","NARIKUDI ROAD, GH STREET , TIRUCHULI",9443271802
390,VIRUDHUNAGAR,"GOVT. HEAD QRTRS HOSP, ARUPUKOTTAI,VIRDHUNAGAR TN.","VELLAI KOTTAI, ARUPPUKKOTTAI, TAMIL NADU 626101",9443444136
